,molecule_chembl_id,smiles,ic50,tox_free,bbb,qed,sa,lip,carc
41,CHEMBL4169190,COc1ccc(CCN(C)CCC=C2c3ccccc3CCc3ccccc32)cc1OC,10000.0,True,True,0.4535357782941709,2.371889285820256,1,True
42,CHEMBL4167686,COc1ccc(CCN(C)CCC=C2c3ccccc3CCc3ccccc32)cc1,10000.0,True,False,0.5002273549296392,2.2858055012696603,1,True
43,CHEMBL4164240,COc1ccc(CCN(C)CCCN2C(=O)COc3ccccc32)cc1,38000.0,True,False,0.7308559974673023,2.1119876433098135,0,False
44,CHEMBL1579112,COc1ccc(CN2C(=O)COc3ccccc32)cc1,250000.0,True,False,0.8594346130347901,1.7694646017574858,0,False
45,CHEMBL4174494,COc1ccc(CCNCCNc2cccc3ccccc23)cc1,116000.0,False,False,0.6133109972756295,1.785507343534979,0,False
46,CHEMBL4163833,COc1ccc(CCNCc2cccc3ccccc23)cc1OC,96000.0,False,False,0.6619715393790957,1.7432345622317769,0,True
47,CHEMBL4161868,COc1ccc(CCN(C)CCCN2c3ccccc3Oc3ccccc32)cc1OC,13000.0,True,True,0.45755689112102604,2.2257513959100894,1,False
48,CHEMBL4166367,COc1ccc(CCN(C)CCCN2c3ccccc3Oc3ccccc32)cc1,25000.0,True,False,0.5083902866692974,2.1325184961818593,1,False
49,CHEMBL4168784,COc1ccc(CCN(C)CCN2c3ccccc3CCc3ccccc32)cc1OC,14000.0,True,True,0.5091414332268389,2.194836011294706,1,False
50,CHEMBL4160852,COc1ccc(CCN(C)CCN2c3ccccc3CCc3ccccc32)cc1,17000.0,True,False,0.5613632887209221,2.099784559530274,1,False
51,CHEMBL4165364,COc1ccc(CC(=O)N(C)CCN2c3ccccc3CCc3ccccc32)cc1,250000.0,True,True,0.6046420911567946,2.129170053958351,0,False
52,CHEMBL4175979,COc1ccc(CCN2CCCN(C3c4ccccc4CCc4ccccc43)C2)cc1,11000.0,True,True,0.5804367011379411,2.3321853089535693,1,True
53,CHEMBL4161928,COc1ccc(CCN2CCCN(C3c4ccccc4CCc4ccccc43)C2)cc1OC,22000.0,True,True,0.5303074371346704,2.416929705191933,1,True
54,CHEMBL4166350,COc1ccc(CCNCCCNC2c3ccccc3CCc3ccccc32)cc1OC,39000.0,False,True,0.45756556185276137,2.3237085509065754,0,True
55,CHEMBL4172134,COc1ccc(CCN(C)CCCN2c3ccccc3CCc3ccccc32)cc1,16000.0,True,True,0.4967352821631741,2.113625431339589,1,False
56,CHEMBL4169787,COc1ccc(CCN2[C@H](C)CN(CCCN3c4ccccc4Oc4ccccc43)C[C@@H]2C)cc1,43000.0,True,True,0.40381756437620436,3.1824815014509413,1,False
57,CHEMBL4175550,CCCCCCCCCCCCOc1cc(C(=O)NO)ccc1OC,18550.0,False,False,0.27742984877167737,1.9521244756132603,1,True
58,CHEMBL4160451,CCCCCCCCOc1cc(C(=O)NO)ccc1OC,16090.0,False,False,0.3933249332556593,1.8478214561557689,0,True
59,CHEMBL4159359,CCCCCCCCCCOc1cc(C(=O)NO)ccc1O,17430.0,False,False,0.3274372003769711,1.9946638038368807,0,True
60,CHEMBL4163829,CCCCCCCCCCOc1cc(C(=O)NCCO)ccc1OC,71000.0,False,False,0.4983030516805052,1.883940943652263,0,True
61,CHEMBL4167496,CCCCCCCCCCOc1cccc(C(=O)NO)c1,1420.0,False,False,0.36262688073724253,1.8390090050475543,0,True
62,CHEMBL4171926,CCCCCCCCCCCCOc1cccc(C(=O)NO)c1,13060.0,False,False,0.3015605452657612,1.8909180946521555,1,True
63,CHEMBL4175958,CCCCCCCCCCOc1cc(C(=O)NCC(C)O)ccc1OC,85200.0,False,False,0.4817260197974312,2.387907481352462,0,True
64,CHEMBL4175373,CCCCCCCCOc1cccc(C(=O)NO)c1,17420.0,False,False,0.40765581667851325,1.7896207383963123,0,True
65,CHEMBL4160651,N#Cc1ccc(COc2cccc(C(=O)NO)c2)cc1,52870.0,False,False,0.6578323056676728,1.8501846213023683,0,True
