molecule_chembl_id,smiles,standard_value,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHAcceptors,NumHDonors,NumHeteroatoms,NumHeterocycles,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumSpiroAtoms,NumUnspecifiedAtomStereoCenters,Phi,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
CHEMBL4168784,COc1ccc(CCN(C)CCN2c3ccccc3CCc3ccccc32)cc1OC,14000.0,5.443660742196686,5.443660742196686,0.7760173902912765,0.7760173902912765,0.5091414332268389,12.838709677419354,416.5650000000002,384.3090000000002,416.24637826399993,162,0,0.16048740388652782,-0.4928699786635633,0.4928699786635633,0.16048740388652782,0.7741935483870968,1.3870967741935485,2.0,16.507784009303343,10.049505827618905,2.1976544685382664,-2.2890955945142686,2.3522203263079935,-2.3176257982301314,5.706351325223366,0.34391601079167505,2.9769283311468544,1.4304003170324904,948.9250788260215,21.631181265251037,18.804417420132815,18.804417420132815,15.1902031456512,11.021249942313677,11.021249942313677,8.151674239702881,8.151674239702881,6.163977587610268,6.163977587610268,4.349729697326841,4.349729697326841,-2.979999999999999,15497841.261097226,21.259607067007366,9.88460040101141,4.855808433718199,185.5709972070858,19.273545369301054,0.0,11.49902366656781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.46456947923127,67.26595960039265,31.009041767104847,14.219595082555067,9.473725907600098,11.374772549367124,0.0,4.899909730850478,0.0,19.26246486877803,45.80144601382045,83.42039222816872,0.0,11.49902366656781,14.373635638450576,11.374772549367124,11.49902366656781,0.0,45.80144601382045,19.26246486877803,0.0,16.690354475090988,66.73003775307771,0.0,0.0,0.0,24.94,0.0,0.0,0.0,0.0,0.0,50.39575775308357,28.06512702445811,14.219595082555067,6.06636706846161,77.51116212899426,9.473725907600098,10.792878168292962,0.0,4.914089800074198,0.0,6.828525151180205,1.5680857402126418,23.87640963702849,3.1683385206464205,2.957376230004296,5.560963419227447,0.3333333333333333,31,0,4,0,1,1,0,3,0,3,0,0,4,0,4,1,8,0,0,0,0,0,6.778797436770516,4,5.1150000000000055,128.04500000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,3,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL4160852,COc1ccc(CCN(C)CCN2c3ccccc3CCc3ccccc32)cc1,17000.0,5.252180389059239,5.252180389059239,0.9172210939949803,0.9172210939949803,0.5613632887209221,13.0,386.53900000000016,356.29900000000015,386.23581357999996,150,0,0.11837774885908654,-0.49676821879697597,0.49676821879697597,0.11837774885908654,0.7931034482758621,1.3793103448275863,1.9655172413793103,16.465273219827942,10.049505827618907,2.1963619569547306,-2.2889009085332317,2.350558938668251,-2.3175251442975147,5.706195968083117,0.3468948463178073,2.933039786181661,1.4285360575448542,871.2781650936927,20.05383099606141,17.473519398858578,17.473519398858578,14.241514740667455,10.492210839951216,10.492210839951216,7.810413247346799,7.810413247346799,5.875080204020246,5.875080204020246,4.105793622371862,4.105793622371862,-2.779999999999999,6283181.294276644,19.532706691571555,9.145537341736317,4.62541267927529,174.09250986318227,14.536682415501005,5.749511833283905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.53093654769288,67.26595960039265,31.009041767104847,7.109797541277533,4.736862953800049,11.374772549367124,0.0,4.899909730850478,0.0,19.26246486877803,38.69164847254292,89.48675929663034,0.0,5.749511833283905,9.636772684650527,11.374772549367124,5.749511833283905,0.0,38.69164847254292,19.26246486877803,0.0,16.690354475090988,72.79640482153933,0.0,0.0,0.0,15.71,0.0,0.0,0.0,0.0,0.0,44.64624591979967,28.06512702445811,7.109797541277533,12.13273413692322,77.51116212899426,4.736862953800049,5.252180389059239,0.0,4.946327559375449,0.0,6.9715688683410555,0.9172210939949803,26.15064237836632,3.2655351264419274,3.0649056769682668,3.931618907452761,0.3076923076923077,29,0,3,0,1,1,0,3,0,3,0,0,3,0,3,1,7,0,0,0,0,0,6.15989994596381,4,5.106400000000005,121.49300000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL4165364,COc1ccc(CC(=O)N(C)CCN2c3ccccc3CCc3ccccc32)cc1,250000.0,12.77482922335601,12.77482922335601,0.12181395397665296,0.12181395397665296,0.6046420911567946,12.533333333333333,400.52200000000016,372.2980000000002,400.215078136,154,0,0.22629301400535917,-0.4967682155352895,0.4967682155352895,0.22629301400535917,0.9,1.4666666666666666,2.033333333333333,16.46528871502025,10.049505827618916,2.2066801356738255,-2.2894822339539767,2.35084128088777,-2.352884910608991,5.7855338832572105,-0.12856768325965495,2.94591647761496,1.474686773472643,945.056713666103,20.924074484064484,17.674660908135895,17.674660908135895,14.652198343190415,10.457267407509564,10.457267407509564,7.749207805108392,7.749207805108392,5.827674473281187,5.827674473281187,4.038783778812069,4.038783778812069,-3.2699999999999987,9330023.85992025,20.021135863538753,9.036312664993638,4.327071043471524,178.25403196322603,14.536682415501005,5.749511833283905,0.0,5.907179729351506,0.0,0.0,4.794537184071822,0.0,0.0,0.0,48.53093654769288,53.79746599478945,31.51195734386946,13.530619164203543,9.53140013787187,17.28195227871863,0.0,4.899909730850478,0.0,19.26246486877803,32.14689206663036,89.48675929663034,0.0,5.749511833283905,9.636772684650527,11.374772549367124,5.749511833283905,0.0,38.054071795981855,24.05700205284985,0.0,16.690354475090988,72.79640482153933,0.0,0.0,0.0,32.78,0.0,4.794537184071822,0.0,5.907179729351506,12.965578028838586,30.699362976745494,22.501675532761116,7.109797541277533,36.21304998737411,53.430846278543356,4.736862953800049,5.194091528515021,0.0,16.97837900495368,0.0,6.219301294644911,0.9255618809270376,24.91419973958241,2.471746546195014,1.4271188446427447,3.5362678272058474,0.2692307692307692,30,0,4,0,1,1,1,3,0,3,0,0,3,0,4,1,6,0,0,0,0,0,6.030574785708452,4,4.6330000000000044,121.63300000000004,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,2,2,0,0,0,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL4175979,COc1ccc(CCN2CCCN(C3c4ccccc4CCc4ccccc43)C2)cc1,11000.0,5.295391796058524,5.295391796058524,0.3598948522884311,0.3598948522884311,0.5804367011379411,17.580645161290324,412.5770000000002,380.3210000000002,412.25146364399995,160,0,0.11837774885920012,-0.49676821879697586,0.49676821879697586,0.11837774885920012,0.8064516129032258,1.4516129032258065,2.096774193548387,16.46527686496391,9.92601802564243,2.306321862095827,-2.409199898863849,2.371759813533183,-2.4687988488037695,5.441380708238445,0.06409319206094433,3.000878680254904,1.3563053390251079,949.0567136661031,21.04539482762413,18.4650832304213,18.4650832304213,15.313994385738889,11.565788339921763,11.565788339921763,8.8236092996475,8.8236092996475,6.9052670404409495,6.9052670404409495,5.255904588322897,5.255904588322897,-2.6199999999999988,23823807.79333759,20.292034400023503,9.252392398279763,4.390482087188717,185.81656293844625,4.736862953800049,5.749511833283905,0.0,0.0,0.0,0.0,9.799819461700956,0.0,0.0,0.0,60.6636706846161,65.63327808711225,19.634269217737724,19.820329559324637,4.736862953800049,0.0,0.0,9.799819461700956,0.0,31.725127320852,33.4127579479144,100.61366228002433,0.0,5.749511833283905,4.736862953800049,0.0,5.749511833283905,0.0,43.21257740961536,19.26246486877803,0.0,40.279919910558945,72.79640482153933,0.0,0.0,0.0,15.71,0.0,0.0,0.0,0.0,6.041840829147961,44.770180702786234,40.78283548732356,7.109797541277533,0.0,82.5962242832403,4.736862953800049,5.295391796058524,0.0,5.337657129209708,0.0,7.412131982475598,0.929251700990865,27.086045125170585,4.579903199479734,4.469614860598356,1.7233375393499646,0.35714285714285715,31,0,3,1,1,2,0,3,0,3,0,0,3,0,3,1,5,0,1,1,0,0,6.0564472525293205,5,5.091100000000005,126.59600000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL4161928,COc1ccc(CCN2CCCN(C3c4ccccc4CCc4ccccc43)C2)cc1OC,22000.0,5.49665842738187,5.49665842738187,0.3368337700859346,0.3368337700859346,0.5303074371346704,17.151515151515152,442.6030000000003,408.33100000000024,442.26202832799993,172,0,0.16048740391790794,-0.49286997866356314,0.49286997866356314,0.16048740391790794,0.7878787878787878,1.4545454545454546,2.121212121212121,16.507790935791103,9.926004292227134,2.3070501570641166,-2.4092571692791673,2.3736096636214166,-2.4688204860061194,5.447019593162208,0.06408432664833139,3.041495516410222,1.3499122582695482,1027.4013510201587,22.622745096813755,19.795981251695537,19.795981251695537,16.262682790722632,12.094827442284224,12.094827442284224,9.164870292003583,9.164870292003583,7.194164424030973,7.194164424030973,5.499840663277879,5.499840663277879,-2.819999999999999,58679645.99399481,21.996100423154733,9.982370245383603,4.637353453547848,197.2950502823498,9.473725907600098,0.0,11.49902366656781,0.0,0.0,0.0,9.799819461700956,0.0,0.0,0.0,54.59730361615449,65.63327808711225,19.634269217737724,26.93012710060217,9.473725907600098,0.0,0.0,9.799819461700956,0.0,31.725127320852,40.52255548919193,94.54729521156271,0.0,11.49902366656781,9.473725907600098,0.0,11.49902366656781,0.0,50.32237495089289,19.26246486877803,0.0,40.279919910558945,66.73003775307771,0.0,0.0,0.0,24.94,0.0,0.0,0.0,0.0,6.041840829147961,57.06444894198272,34.23807908141099,14.219595082555067,6.06636706846161,70.46349014631706,9.473725907600098,10.889087260477432,0.0,5.302993958385823,0.0,7.269088265314749,1.5954001613514674,24.76414392781654,4.458223568992869,4.335931314840495,3.3851315428206243,0.3793103448275862,33,0,4,1,1,2,0,3,0,3,0,0,4,0,4,1,6,0,1,1,0,0,6.653733890259681,5,5.099700000000006,133.14799999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
