molecule_chembl_id,canonical_smiles,standard_value
CHEMBL323197,COc1c(O)cc2oc3cc(O)c(CC=C(C)C)c(O)c3c(=O)c2c1CC=C(C)C,14100.0
CHEMBL4167681,CCCCCCCCCCOc1cc(C(=O)NO)ccc1OC,890.0
CHEMBL320658,COc1c(O)cc(O)c(C(=O)c2c(O)cc(O)cc2O)c1CC=C(C)C,14700.0
CHEMBL109045,COc1cc(C(=O)c2c(O)cc(O)c(CC=C(C)C)c2O)c(O)cc1O,66000.0
CHEMBL4464068,CCCCCCCCCCOc1cc(C(=O)NO)on1,360.0
CHEMBL4551503,O=C(NO)c1cc(OCc2ccc(-c3ccc(Cl)cc3)cc2)no1,320.0
CHEMBL4517596,O=C(NO)c1cccc(OCc2ccc(-c3ccc(Cl)cc3)cc2)c1,8960.0
CHEMBL4464117,COc1ccc(C(=O)NO)cc1OCc1ccc(-c2ccc(Cl)cc2)cc1,340.0
CHEMBL4464771,O=C(NO)c1cccc(OCc2ccc(-c3noc(Cc4ccccc4)n3)cc2)c1,7830.0
CHEMBL4175734,CCOc1ccc2oc(-c3cc(Br)cc4c3OCOC4)c(N)c(=O)c2c1,3100.0
CHEMBL458845,COc1c(O)cc2oc3cc(O)c(CC=C(C)C)c(O)c3c(=O)c2c1C/C=C(\C)CCC=C(C)C,19200.0
CHEMBL4471880,O=C(NO)c1cc(OCc2ccc(-c3ccccc3)cc2)no1,880.0
CHEMBL3261720,COc1c(O)cc2oc3cc(O)c(CCC(C)C)c(O)c3c(=O)c2c1CCC(C)C,10900.0
CHEMBL4449978,O=C(NO)c1cccc(OCc2ccc(-c3noc(CCc4ccccc4)n3)cc2)c1,1730.0
CHEMBL4462822,COc1ccc(C(=O)NO)cc1OCc1ccc(-c2cccnc2)cc1,4970.0
CHEMBL4465034,CCCCCCc1ccc(COc2cccc(C(=O)NO)c2)cc1,2110.0
CHEMBL4169193,COc1cc(CCN(C)CCCn2c3ccccc3c3ccccc32)c(OC)cc1CCN(C)CCCn1c2ccccc2c2ccccc21,10000.0
CHEMBL4177055,COc1ccc(CCN(C)CCn2c3ccccc3c3ccccc32)cc1,6000.0
CHEMBL4172894,COc1ccc(CCN2CCN(CCn3c4ccccc4c4ccccc43)CC2)cc1,33000.0
CHEMBL310981,CCCCCCCCCCCCCCCC(=O)N[C@@H](CC(F)(F)P(=O)(O)O)[C@H](O)c1ccccc1,49000.0
CHEMBL4160021,COc1ccc(CCN(C)CCCn2c3ccccc3c3ccccc32)cc1OC,14000.0
CHEMBL4167275,COc1ccc(CCN(C)CCCn2c3ccccc3c3ccccc32)cc1,13000.0
CHEMBL4163177,COc1ccc(CC(=O)N(C)CCCn2c3ccccc3c3ccccc32)cc1,250000.0
CHEMBL4172047,COc1ccc(CN(C)CCCn2c3ccccc3c3ccccc32)cc1,29000.0
CHEMBL4161288,COc1ccc(CCN(C)C(F)(F)C(F)(F)C(F)(F)C(F)(F)n2c3ccccc3c3ccccc32)cc1,250000.0
CHEMBL4162909,COc1ccc(CCN(C)CCCN2c3ccccc3Sc3ccccc32)cc1,9000.0
CHEMBL4173624,COc1ccc(CCN(C)CCCN2c3ccccc3Sc3ccccc32)cc1OC,16000.0
CHEMBL4159553,COc1ccc(CCN(C)CCN2c3ccccc3Sc3ccccc32)cc1,15000.0
CHEMBL4170183,COc1ccc(CCN(C)CCN2c3ccccc3Sc3ccc(Cl)cc32)cc1OC,250000.0
CHEMBL4160093,COc1ccc(CCN(C)CCCN2c3ccccc3Sc3ccc(Cl)cc32)cc1,134000.0
CHEMBL4175839,COc1ccc(CCN(C)CCCN2c3ccccc3Sc3ccc(Cl)cc32)cc1OC,12000.0
CHEMBL71,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,11000.0
CHEMBL4169496,COc1ccc(CCN2CCCn3c4c(c5ccccc53)CCCC42)cc1,15000.0
CHEMBL4176691,COc1ccc(CCN2CCn3c4c(c5ccccc53)CCCC42)cc1,250000.0
CHEMBL4166075,COc1ccc(CCN(C)CCCn2ccc3ccccc32)cc1,21000.0
CHEMBL4168410,COc1ccc(Cn2c3ccccc3c3ccccc32)cc1,156000.0
CHEMBL4170078,COc1ccc(CCN2[C@H](C)CN(CCCn3c4ccccc4c4ccccc43)C[C@@H]2C)cc1OC,141000.0
CHEMBL4164995,COc1ccc(CCN2[C@H](C)CN(CCCn3c4ccccc4c4ccccc43)C[C@@H]2C)cc1,9000.0
CHEMBL4173213,COc1ccc(CCN(C)CCCN2c3ccccc3CCc3ccccc32)cc1OC,31000.0
CHEMBL11,CN(C)CCCN1c2ccccc2CCc2ccccc21,5000.0
CHEMBL4176988,COc1ccc(CC(=O)N(C)CCCN2c3ccccc3Sc3ccc(Cl)cc32)cc1OC,250000.0
CHEMBL4169190,COc1ccc(CCN(C)CCC=C2c3ccccc3CCc3ccccc32)cc1OC,10000.0
CHEMBL4167686,COc1ccc(CCN(C)CCC=C2c3ccccc3CCc3ccccc32)cc1,10000.0
CHEMBL4164240,COc1ccc(CCN(C)CCCN2C(=O)COc3ccccc32)cc1,38000.0
CHEMBL1579112,COc1ccc(CN2C(=O)COc3ccccc32)cc1,250000.0
CHEMBL4174494,COc1ccc(CCNCCNc2cccc3ccccc23)cc1,116000.0
CHEMBL4163833,COc1ccc(CCNCc2cccc3ccccc23)cc1OC,96000.0
CHEMBL4161868,COc1ccc(CCN(C)CCCN2c3ccccc3Oc3ccccc32)cc1OC,13000.0
CHEMBL4166367,COc1ccc(CCN(C)CCCN2c3ccccc3Oc3ccccc32)cc1,25000.0
CHEMBL4168784,COc1ccc(CCN(C)CCN2c3ccccc3CCc3ccccc32)cc1OC,14000.0
CHEMBL4160852,COc1ccc(CCN(C)CCN2c3ccccc3CCc3ccccc32)cc1,17000.0
CHEMBL4165364,COc1ccc(CC(=O)N(C)CCN2c3ccccc3CCc3ccccc32)cc1,250000.0
CHEMBL4175979,COc1ccc(CCN2CCCN(C3c4ccccc4CCc4ccccc43)C2)cc1,11000.0
CHEMBL4161928,COc1ccc(CCN2CCCN(C3c4ccccc4CCc4ccccc43)C2)cc1OC,22000.0
CHEMBL4166350,COc1ccc(CCNCCCNC2c3ccccc3CCc3ccccc32)cc1OC,39000.0
CHEMBL4172134,COc1ccc(CCN(C)CCCN2c3ccccc3CCc3ccccc32)cc1,16000.0
CHEMBL4169787,COc1ccc(CCN2[C@H](C)CN(CCCN3c4ccccc4Oc4ccccc43)C[C@@H]2C)cc1,43000.0
CHEMBL4175550,CCCCCCCCCCCCOc1cc(C(=O)NO)ccc1OC,18550.0
CHEMBL4160451,CCCCCCCCOc1cc(C(=O)NO)ccc1OC,16090.0
CHEMBL4159359,CCCCCCCCCCOc1cc(C(=O)NO)ccc1O,17430.0
CHEMBL4163829,CCCCCCCCCCOc1cc(C(=O)NCCO)ccc1OC,71000.0
CHEMBL4167496,CCCCCCCCCCOc1cccc(C(=O)NO)c1,1420.0
CHEMBL4171926,CCCCCCCCCCCCOc1cccc(C(=O)NO)c1,13060.0
CHEMBL4175958,CCCCCCCCCCOc1cc(C(=O)NCC(C)O)ccc1OC,85200.0
CHEMBL4175373,CCCCCCCCOc1cccc(C(=O)NO)c1,17420.0
CHEMBL4160651,N#Cc1ccc(COc2cccc(C(=O)NO)c2)cc1,52870.0
