iter	RMSE
165	0.175154312
166	0.1748514007
167	0.1741549559
168	0.1738401107
169	0.172918597
170	0.1719970549
171	0.1716816116
172	0.1707074626
173	0.1691227627
174	0.1685452879
175	0.1677447047
176	0.166759076
177	0.1662530404
178	0.1655974262
179	0.1652346289
180	0.1643544816
181	0.1636513943
182	0.1633281517
183	0.1630753799
184	0.1624012477
185	0.1615242407
186	0.1612136151
187	0.1603398694
188	0.1598395795
189	0.1589541863
190	0.1585312798
191	0.1574253888
192	0.1569065248
193	0.1567042193
194	0.1564093124
195	0.1554775423
196	0.1547426302
197	0.1544028969
198	0.154186084
199	0.1536881985
200	0.1532851185
201	0.1524935645
202	0.1519735692
203	0.1512695548
204	0.1507455793
205	0.1498510044
206	0.1496732852
207	0.1488650512
208	0.1484482983
209	0.1476729756
210	0.1471393342
211	0.1466572199
212	0.1460283585
213	0.1458205176
214	0.1455650825
215	0.1450682721
216	0.1446349611
217	0.1438768133
218	0.1436472758
219	0.1431532249
220	0.1429388318
221	0.1428025002
222	0.1423702983
223	0.1418868358
224	0.1417368989
225	0.141325353
226	0.140636097
227	0.1400812041
228	0.1398846555
229	0.1397318773
230	0.1390219673
231	0.1383545596
232	0.1380229926
233	0.1377507727
234	0.1374278881
235	0.1367750558
236	0.1363442096
237	0.1361831271
238	0.1357419683
239	0.1355340046
240	0.135378086
241	0.1352664807
242	0.1351030391
243	0.1346693326
244	0.134164312
245	0.1338689251
246	0.1337233526
247	0.13358906
248	0.1334673938
249	0.1329132751
250	0.1324640261
251	0.1321749268
252	0.1320341947
253	0.1319040698
254	0.1317117905
255	0.1315601098
256	0.1312460627
257	0.131151718
258	0.1309106437
259	0.1307611318
260	0.1305468273
261	0.1301092091
262	0.1298984893
263	0.1294162395
264	0.1289722586
265	0.1288718412
266	0.1285262774
267	0.1283016763
268	0.1280210526
269	0.1279072404
270	0.1273955581
271	0.1273070418
272	0.1269726935
273	0.1267844272
274	0.1264177377
275	0.1260824894
276	0.12580878
277	0.1256095237
278	0.1255019098
279	0.1250843125
280	0.1249093612
281	0.1246766085
282	0.1245774132
283	0.1245121825
284	0.1241289385
285	0.1238255252
286	0.1236688443
287	0.1235726356
288	0.123220664
289	0.1228943733
290	0.1227956755
291	0.12273079
292	0.1224159709
293	0.1221684045
294	0.1220354408
295	0.1216775192
296	0.1216133412
297	0.121533232
298	0.1214485603
299	0.1212170784
300	0.1211225295
301	0.1210652436
302	0.1209802099
303	0.1208685283
304	0.1207143889
305	0.1206452045
306	0.120584005
307	0.1203036369
308	0.1201693785
309	0.1200988094
310	0.1199496081
311	0.1197520055
312	0.1197090939
313	0.1195722975
314	0.119423075
315	0.1193143779
316	0.1192611504
317	0.1190096004
318	0.118879671
319	0.1186752703
320	0.1186122693
321	0.1185531519
322	0.1185130144
323	0.1184288269
324	0.1181578628
325	0.118064275
326	0.1178407125
327	0.1176118101
328	0.1175673979
329	0.1175161581
330	0.1173153426
331	0.1172399296
332	0.1172086943
333	0.1171558798
334	0.1169897396
335	0.1168947258
336	0.1168513885
337	0.1168127357
338	0.1167079449
339	0.116652092
340	0.1165293404
341	0.1164845355
342	0.1163048327
343	0.116264529
344	0.1161217829
345	0.1160156363
346	0.1158654856
347	0.1158376579
348	0.1157069511
349	0.1156794076
350	0.1154982307
351	0.1154376053
352	0.1154090353
353	0.1153830657
354	0.1151861248
355	0.1151125931
356	0.1150758185
357	0.114952901
358	0.1148975865
359	0.1148660087
360	0.1148114317
361	0.1146543677
362	0.1145147112
363	0.1143947566
364	0.114331019
365	0.1141930916
366	0.1141692189
367	0.1140506504
368	0.1139898663
369	0.1138849026
370	0.1137695921
371	0.1136592826
372	0.1135573618
373	0.11344845
374	0.1134178607
375	0.1133972638
376	0.1132647522
377	0.1132461217
378	0.1131698209
379	0.1131467506
380	0.1130996587
381	0.1130003089
382	0.1129526538
383	0.1128664961
384	0.1128341751
385	0.1126767551
386	0.1125837905
387	0.1125151487
388	0.1124740263
389	0.1124189433
390	0.1123977871
391	0.1123551149
392	0.112328525
393	0.1122767356
394	0.1122509169
395	0.1122139139
396	0.1121685788
397	0.1120779313
398	0.1120599013
399	0.1119655548
400	0.1119123822
401	0.11183393
402	0.1117679791
403	0.1117003036
404	0.1116826032
405	0.1115702204
406	0.111537976
407	0.1114605143
408	0.1114457684
409	0.1114218288
410	0.1113548173
411	0.111336022
412	0.1112824954
413	0.1112254705
414	0.1111709315
415	0.1111514492
416	0.1111368109
417	0.1111181811
418	0.111066695
419	0.1110527105
420	0.1110368189
421	0.1110239204
422	0.1109866141
423	0.1109264078
424	0.110903888
425	0.1108875784
426	0.1108560257
427	0.1108407457
428	0.1108142332
429	0.1108042042
430	0.1107702654
431	0.110722449
432	0.1106790448
433	0.1106630171
434	0.1106468754
435	0.1106332256
436	0.110619995
437	0.1106100808
438	0.1105411429
439	0.1105310467
440	0.1105042962
441	0.1104860233
442	0.1104703496
443	0.1104561096
444	0.1103875825
445	0.1103453869
446	0.1103159572
447	0.110266222
448	0.1102215508
449	0.1101954296
450	0.1101577057
451	0.1101455936
452	0.1101337378
453	0.1101185886
454	0.1100973857
455	0.1100864574
456	0.1100766775
457	0.110041068
458	0.1099889241
459	0.1099273714
460	0.1099152996
461	0.1099010633
462	0.1098832198
463	0.1098754194
464	0.1098675354
465	0.1098283098
466	0.1098071496
467	0.1097630818
468	0.1097310985
469	0.109718209
470	0.1097099004
471	0.1096994451
472	0.1096938385
473	0.1096705853
474	0.1096628216
475	0.1096407067
476	0.1096337428
477	0.1096134528
478	0.1096044276
479	0.1095910874
480	0.109570867
481	0.1095634745
482	0.1095534742
483	0.109530991
484	0.1095216279
485	0.1094963014
486	0.109459486
487	0.1094245515
488	0.1094023548
489	0.1093709341
490	0.10935745
491	0.1093504686
492	0.1093370824
493	0.1093310054
494	0.1093008744
495	0.1092660622
496	0.1092535634
497	0.1092304192
498	0.109211222
499	0.1092010961
